name,room_type,price,minimum_nights,number_of_reviews
"The Little Blue House
(in central Salem  Oregon)",Entire home/apt,90,2,37
South Salem Spacious Room.,Private room,40,3,16
Modern condo in the heart of Downtown Salem,Entire home/apt,94,1,82
Spacious house in quiet neighborhood,Entire home/apt,400,3,0
Quiet  Licensed W. Salem Room for Travelers,Private room,29,4,8
Quaint & Restful Cottage,Entire home/apt,91,2,76
Cozy  warming  friendly.,Private room,100,1,2
Angry Owl Hideout in the Capital City of Salem OR,Entire home/apt,120,2,23
Top Floor Suite at Parke 325,Entire home/apt,115,1,16
1941 Craftsman in Salem  w/ Private Backyard Patio,Entire home/apt,147,1,41
Large 2 Bedroom 1 Bath Condo with a Creek View,Entire home/apt,86,1,81
Conference? Work? Government? End your day at home,Private room,150,1,0
Large Creek View 2 Bedroom 2 Bath Condo,Entire home/apt,86,1,45
Cozy  convenient room in Salem,Private room,40,1,59
The Bunkhouse,Entire home/apt,35,2,7
Mid-Century-Modern w/Views The Mulberry House,Entire home/apt,232,5,6
#2 Creekside View - Large 2 Bedroom 2 Bath Condo-,Entire home/apt,77,1,2
LongTerm Large Master Bedroom Beautiful Hillside1,Private room,70,14,0
Tiger Station Loft A Downtown Salem Oregon,Entire home/apt,122,2,17
Quiet Updated Duplex  Great Location,Entire home/apt,79,2,12
Friends &  Family Peaceful  Palace Home Salem  OR,Entire home/apt,168,2,18
Woodland getaway/ bedroom 2,Private room,72,1,0
Beautiful Room and Living Area Longterm stay2,Private room,47,14,0
West Salem * King bed home*   5 min to downtown,Private room,163,2,2
Quiet Pr.daylight basement on hillside.,Entire home/apt,77,14,1
Bombshell basement,Entire home/apt,90,1,2
Englewood Loft,Entire home/apt,73,3,21
1 bedroom with 2 beds to rent,Private room,37,15,1
#KidsParadise,Entire home/apt,125,30,2
Charming Chalet,Entire home/apt,125,2,17
LARGE Upstairs 2 Bed 2 Bath condo Creek View!,Entire home/apt,86,1,34
The Bronze Room,Private room,35,1,0
The Eiffel  Tower Room,Private room,45,1,0
Where's Waldo Wood Cabin,Entire home/apt,133,2,4
Long term stay discount. Very clean and quiet.,Entire home/apt,214,1,22
Salem's R & R Home Near Downtown  Air Conditioning,Entire home/apt,150,2,6
Luxurious modern retreat in Downtown w/ pool,Entire home/apt,83,1,9
2755 Nola SE Salem  OR Nola’s Nirvana“Urban Oasis”,Entire home/apt,155,2,7
Quiet  comfy  licensed West Salem room to stay.,Private room,41,3,2
Tara's one bedroom  private entry in Cottage Home,Private room,48,1,9
Nice place to stay with quiet neighborhood.,Private room,37,15,0
Tiger Station Loft B  Downtown Salem Oregon,Entire home/apt,126,2,0
Spacious Bright Townhome in Heart of Wine Country,Entire home/apt,120,1,4
NW Pines Luxurious Estate (Near Downtown Salem),Entire home/apt,217,1,2
Birchwood Glen Townhome 1390 Chemeketa St Salem OR,Entire home/apt,145,2,1
Spacious gem + AC,Entire home/apt,160,2,1
Private Room in House,Private room,48,2,0
Tiny trailer  smaller than it looks.,Entire home/apt,44,1,0
