name,room_type,price,minimum_nights,number_of_reviews
Retreat in Williamsburg,Entire home/apt,195,4,252
NYC Zen,Entire home/apt,125,1,34
Sunny  Clean Zen Home w pr.Bath,Entire home/apt,150,120,19
Great location. Spacious 2BR near PROSPECT PARK,Entire home/apt,121,15,4
Private Bdrm/Bathrm. New! Elevator!,Private room,79,3,34
Sunny  clean 1 bdrm in W. Village,Entire home/apt,200,30,136
Great location in Williamsburg,Entire home/apt,125,6,27
2BR Flex in Hudson Yards near Penn Station,Entire home/apt,125,10,25
Light and Airy Upper East Side 1 BDR apartment,Entire home/apt,149,5,135
Luxury Brownstone in Boerum Hill,Entire home/apt,650,3,23
CENTRAL PARK LOFT all for YOU,Entire home/apt,99,1,263
“Work-from-home” from OUR home.,Private room,89,4,220
1 br in a 2 br apt (Midtown West),Private room,139,3,44
Hudson view & near Central Park elegant room,Private room,116,1,181
A room of own with a Manhattan view,Private room,79,30,29
Private  Large & Sunny 1BR w/W&D,Entire home/apt,135,2,337
Charming & Cozy midtown loft any WEEK ENDS  !!!,Entire home/apt,250,3,4
Convenient cozy cheap apt Manhattan,Entire home/apt,80,3,2
Beautiful Lower East Side Loft,Entire home/apt,450,5,57
House On Henry (2nd FLR Suite),Entire home/apt,125,2,169
New York room with a view,Private room,70,2,176
Apartment in Tribeca  NYC Panoramic VIEWS~,Entire home/apt,250,3,11
Room with a View,Private room,45,1,277
BROOKLYN VICTORIAN STYLE SUITE.....,Private room,110,2,231
CO-VID IMMUNE! Entire studio in West Village,Entire home/apt,146,3,90
Accommodations Galore: #3,Entire home/apt,106,3,97
Clean and Cozy Harlem Apartment,Entire home/apt,100,2,18
Fort Greene  Brooklyn: Center Bedroom,Private room,65,2,251
Amazing West Village Apt,Private room,60,30,23
Beautiful Queens Brownstone! - 5BR,Entire home/apt,364,4,13
Room in Beautiful Townhouse.,Private room,60,3,0
Couldn't Be Closer To Columbia Uni,Private room,75,31,129
Bright Spacious Luxury Condo,Entire home/apt,209,1,35
Park Slope haven 15 mins from Soho,Entire home/apt,150,4,58
Large Room in private Brownstone in Park Slope,Private room,100,3,51
LARGE  COMFY 1BDR W/CHARACTER!!!,Entire home/apt,175,26,30
Chelsea Studio sublet 1 - 2 months,Entire home/apt,132,3,3
Designer 1 BR Duplex w/ Terrace- Spectacular Views,Entire home/apt,192,60,116
Lovely Apt & Garden;  Legal; Amenities  Spotless,Entire home/apt,130,4,173
1 Bedroom in 2 Bdrm Apt- Upper East,Private room,130,14,0
( F) Excellent/Pvt Rm,Private room,65,2,53
Quiet  sunny Midtown Manhattan apt.,Entire home/apt,195,5,10
Big Room/Washer-Dryer/Wifi/AC/JMZ,Private room,80,2,11
cozy studio with parking spot,Entire home/apt,100,7,33
Clean and convenient 2BR apartment,Private room,160,4,6
3 floors of luxury!,Entire home/apt,350,6,20
ARTY BOHEMIAN PRVT ROOM,Private room,109,2,95
MIDTOWN WEST - Large alcove studio,Shared room,146,6,10
Beautiful Uptown Manhattan apartmnt,Private room,200,30,0
Sml Rm  Brst  PSl great for longer stays Med/Stu,Private room,50,2,100
City Room - Private Penthouse Apt.,Entire home/apt,161,1,122
Cozy bedroom by Yankee Stadium,Private room,50,1,181
(H) Great Deal/Pvt Rm,Private room,65,2,62
Great apartment with private bathroom and entrance,Private room,100,5,228
Modern comfort in art infused landmark Brownstone,Private room,79,14,42
Noho/East Village  Entire Apt 1 and 1/2 BATH,Entire home/apt,130,2,115
Cozy 2 br in sunny Fort Greene apt,Private room,85,3,37
1 Bedroom Loft w/ Private Roof Deck,Entire home/apt,265,2,73
City Room - Private & Comfy Bedroom,Private room,78,1,208
Elegant NYC Pad,Entire home/apt,149,3,39
Clean & bright 1BR in Cobble Hill  GREAT location!,Entire home/apt,106,3,239
Modern  Large East Village Loft,Entire home/apt,140,3,205
Great new apt  close to everything,Entire home/apt,250,3,107
Quiet & Clean Retreat in the City,Entire home/apt,239,4,7
Stylish Large SPARKLING Gramercy Loft!,Entire home/apt,250,2,121
The Brownstone-Luxury 1 Bd Apt/NYC,Entire home/apt,157,3,261
PRIVATE Room on Historic Sugar Hill,Private room,44,1,514
South Slope Green,Private room,139,2,25
Budget studio near Times Square,Entire home/apt,100,7,5
17 Flr. Manhattan Views  Nr. Subway,Private room,99,7,22
Spacious 1BR  Adorable Clean Quiet,Entire home/apt,150,3,57
Nice  clean  safe  convenient 3BR,Entire home/apt,168,4,2
Artistic  Cozy  and Spacious w/ Patio! Sleeps 5,Entire home/apt,119,7,22
One bedroom Apt. in NYC,Entire home/apt,250,30,82
Beautiful  elegant 3 bed SOHO loft,Entire home/apt,500,4,106
