name,room_type,price,minimum_nights,number_of_reviews
For Wildfire Evacuees only - pets welcome,Entire home/apt,130,2,58
Modern & Beautiful House Centrally Located in Vibrant Alberta Arts District,Entire home/apt,103,1,155
Downtown NW Condo on Streetcar Line,Entire home/apt,80,31,19
Portland condo near OHSU  VA Hospital & downtown!,Entire home/apt,65,30,44
Overlook Mid-Century Apartment,Entire home/apt,78,2,273
Artsy  private lower level  close to downtown,Entire home/apt,80,3,147
Kinley Manor Coach House Experience,Entire home/apt,59,28,121
Ideally Located  Modern & Artistic Large House ~ Perfect for Groups,Entire home/apt,442,1,64
Sweet and quiet Irvington Duplex,Entire home/apt,84,30,98
Studio Apartment - Private Entry,Entire home/apt,69,7,22
Historic Dist: Walk Downtown & OHSU,Private room,66,30,106
Lg Spacious Room  FUN Alberta Arts,Private room,30,30,30
Spacious  Comfy Basement Suite,Private room,61,1,274
NW Nob Hill Garden Cottage,Entire home/apt,95,1,564
Beautiful Alberta Arts District Apt,Entire home/apt,110,1,429
Northeast Vintage Hideout with Hot Tub & Gardens!,Entire home/apt,79,2,170
SW Room w/ sweet Dalmatian co-host & EV Charger,Private room,48,1,311
The Rustic Modern Tiny House (30 days+),Entire home/apt,45,31,343
Great Location! 5 Bedrooms! Family Friendly,Entire home/apt,334,3,40
Pearl District Loft: Urban Oasis,Entire home/apt,99,30,14
Spacious  charming  & well-located Portland house,Entire home/apt,139,30,8
Authentic Portland  Levity Lodge #3,Private room,40,30,11
Pink House off Mississippi-ask for DEALS 4-6nights,Entire home/apt,83,2,449
Green House Mississippi-ask for DEALS on 4-6nights,Entire home/apt,83,1,481
Simple and Spacious on NW 23rd,Entire home/apt,380,3,160
Quiet Private Studio in Inner NE near Bus & Bike,Entire home/apt,60,2,435
Spacious Private Suite for Extended Stays,Private room,40,30,24
Authentic Alberta Arts Abode,Entire home/apt,95,30,499
PDX Eco Cottage ~ Reduced Rate for Monthly Rental,Entire home/apt,153,28,248
Lovely Laurelhurst Craftsman Apt,Entire home/apt,92,1,350
The Portland Villa on Alberta St,Entire home/apt,457,2,183
"Shaman Perch
Best View In Portland",Entire home/apt,95,30,158
Private Room - Historic Kenton Area,Private room,55,2,64
 The Portland Purple House 1 ,Private room,55,2,30
Alberta Arts Custom Basement Room,Private room,50,30,74
Spacious Urban Retreat,Entire home/apt,225,2,130
The Hen House: Private unit in NE,Entire home/apt,71,1,446
Cozy Portland Studio Apartment,Entire home/apt,61,2,556
Maple Cottage PDX/ Fun Historic Mississippi Ave.,Entire home/apt,69,3,180
Airport~Private Entrance~MicroEcoSanitaryStay,Private room,40,1,297
Spacious Modern Montavilla Studio,Entire home/apt,65,1,10
NE IRVINGTON 1926 CHARMING BUNGALOW,Entire home/apt,130,30,13
Bright & Spacious  Opal 28 Queen Suite #2,Entire home/apt,74,2,113
Private large studio apartment.,Entire home/apt,95,1,383
Rosie Room at Farmhouse Cottage,Private room,69,30,9
Cozy Hawthorne Hideaway-2 BD,Entire home/apt,100,2,342
Cozy mud hut with big bridge view,Private room,72,30,500
Artisan Sanctuary,Entire home/apt,89,2,406
WATERFRONT  NW  DISTRICT CONDO,Entire home/apt,1500,30,64
Whole House  w/  Patio,Entire home/apt,225,2,34
Alberta Arts Bungalow - 4 Bedroom,Entire home/apt,325,2,171
Huge  sunny  well-stocked & beautifully furnished!,Entire home/apt,159,3,19
Modern Loft  Condo in NE Portland (30-day minimum),Entire home/apt,112,30,101
Urban Sanctuary near Shops  Dining & Downtown!,Entire home/apt,113,1,617
Captain's Bed at SW PDX Cottage,Private room,69,30,4
The Studio at the Garden Oasis,Entire home/apt,85,30,52
Vintage Sellwood Artist's Bungalow,Entire home/apt,120,30,4
Cozy Room In Home away Home,Private room,57,30,15
Thompson Hideaway - walk to Convention Center,Entire home/apt,73,2,394
Pdx Downtown Edge Victorian Private Safe Hideaway!,Entire home/apt,82,1,316
5th Ave Townhouse,Entire home/apt,350,2,353
Work & Stay at The Green Fairy,Entire home/apt,125,30,111
The Celestial Room Suite - New Relaxing Retreat,Private room,58,3,52
Deluxe Apartment Studio & Jacuzzi,Entire home/apt,110,2,195
Salmon Street Farmhouse,Entire home/apt,189,3,16
ArtFulLife For Long Term Stays,Entire home/apt,53,30,392
Cozy Basement Alberta Arts Room,Private room,50,30,60
Mississippi Ave Basement Studio,Entire home/apt,100,1,128
Bright & Modern Home in Lovely Roseway,Entire home/apt,114,30,68
Chez Rosette Tiny House,Entire home/apt,125,3,142
Lovely Private Room & Bath in SE (South Tabor),Private room,45,2,114
Explore Ptown then rest & relax here - pets ok,Entire home/apt,149,3,233
Get cozy in SE Pdx's hottest 'hood,Private room,60,30,96
Close in SE Victorian Garden Home,Entire home/apt,99,4,9
The Irvington off Broadway studio condominium,Entire home/apt,60,30,7
Big SE Hawthorne Basement 1BD,Entire home/apt,95,3,156
Modern House in NE Portland,Entire home/apt,192,2,88
 The Hermitage   Historic Hafner Haus 2nd unit,Entire home/apt,89,4,114
Bright Beautiful Mid-Century Style Loft in N.E.,Entire home/apt,161,2,245
Pearl District Private Suite,Private room,100,2,476
Hawthorne/Belmont Vintage Apartment,Entire home/apt,99,30,99
Historic Northwest Portland Home,Private room,70,2,83
Basement Studio Skateboarding Paradise St Johns,Private room,49,1,24
Sellwood Garden Studio,Entire home/apt,95,2,302
SE Prime Location! Private suite w/ bath.,Entire home/apt,100,1,146
Zen Suite Private Bath-Alberta Arts,Private room,73,30,58
Classic Bedroom near OHSU. Sunny & Bright!,Private room,34,30,1
1915 Craftsman Bungalow Mt. Tabor/Montavilla,Entire home/apt,189,2,55
Urban Zen Retreat,Entire home/apt,89,2,113
Sunny and family friendly - just off Hawthorne!,Entire home/apt,66,1,349
Charming home in great NE location,Entire home/apt,94,5,46
Private Irvington Cottage near Convention Center,Entire home/apt,99,2,182
Cosy Basement Apt on East Mt Tabor! City Permitted,Entire home/apt,70,3,181
Modern Four Story Townhome with City Views!,Entire home/apt,349,30,27
Sellwood /Moreland Mid-Century Private Bath,Private room,50,2,29
Tiny house on a tiny volcano,Entire home/apt,99,30,123
Hawthorne Hideaway: center of SE,Entire home/apt,90,31,32
Cozy in Hollywood,Entire home/apt,80,2,67
Rose City Restoration,Entire home/apt,115,3,148
Single Private Room in Laurelhurst,Private room,65,2,108
Westmoreland Craftsman - Walkable and Comfortable,Entire home/apt,318,3,21
Top floor loft  fireplace  AC and 2 bikes,Entire home/apt,85,3,328
Urban Garden Studio,Private room,72,30,162
The Nest,Entire home/apt,75,1,565
Inn Off Hawthorne,Entire home/apt,115,31,23
Hawthorne/Division Beautiful Suite,Entire home/apt,90,3,185
PDX's Most Intimate & Walkable,Entire home/apt,75,30,29
