name,room_type,price,minimum_nights,number_of_reviews
Tulane/Loyola U -1 bdrm or if 2 add $65 PrivatBath,Private room,87,1,56
Cozy and Eclectic in the Bywater,Entire home/apt,135,2,109
3 blocks from the St. Charles streetcar!,Entire home/apt,63,2,340
Airy  Spacious  Close to the Action,Entire home/apt,105,3,183
Rent whole Townhouse in Uptown,Entire home/apt,1000,30,0
Uptown nola-close to parades & universities,Entire home/apt,171,3,84
val blu,Entire home/apt,121,30,13
2 Bedroom Suite in Uptown New Orleans,Entire home/apt,282,2,16
French Quarter Beauty,Entire home/apt,199,30,17
Traditional Lower Garden District 2 bdrm apt,Entire home/apt,94,2,272
Walk to Tulane -Bright Sunny Room of the Treehouse,Private room,70,1,203
Garden District Darling-close to Magazine/Downtown,Entire home/apt,361,2,51
Gem Condo  Soul of Arts District,Entire home/apt,50,120,8
Private Upper Suite  Walk to Bourbon FQ Armstrong,Entire home/apt,140,3,269
Enchanting Guest Suite on Magazine Street,Private room,84,2,51
CONVENTION  CENTER  HISTORICAL 1831,Entire home/apt,150,30,139
Loft Bywtr-Marigny $49 GR8T LOCATION,Entire home/apt,58,3,219
Charming Uptown NOLA Apartment,Entire home/apt,150,30,42
Spacious Broadmoor Townhome- Central to Everything,Entire home/apt,200,3,47
Bayou St John Historic Home,Entire home/apt,329,2,67
Sunny & Airy Marigny / Bywater gem w/balcony!,Entire home/apt,109,3,336
Parks-Bowman Mansion: The Red Room,Private room,102,1,440
Parks-Bowman Mansion: The Haunted Bedroom,Private room,104,1,382
Parks-Bowman Mansion: The Library,Private room,126,1,537
Home away from home with gated parking,Entire home/apt,195,3,118
The Butterfly Farm - an urban homestead,Entire home/apt,150,2,12
Marigny  Music Courtyard & Pool! #20STR-02763,Entire home/apt,239,2,151
9a Fleur De Lis Mansion Spa/Pool 205241,Entire home/apt,1198,3,46
CONVENTION  CENTER/ GREEK REVIVAL,Entire home/apt,130,30,124
Amazing Elegant Estate 40% Off 5BR/4BA Sleeps 14,Entire home/apt,248,3,157
Elegant Uptown New Orleans  near Universities,Private room,114,30,6
1Red Room Free Breakfast/Wine/ Pool/Pet/Hot Tub,Hotel room,92,2,132
2 White Room  completely private,Private room,93,2,156
4   Hollywood  FreeBreakfast/Wine/Pool/Pet/Hot Tub,Hotel room,85,2,111
7  Jazz Room  Free Breakfast/Wine/Hot Tub/Pool/Pet,Hotel room,81,2,123
Cozy One Bedroom NOLA Apartment,Entire home/apt,108,1,447
New Orleans Rental  Esplanade Ridge,Entire home/apt,100,2,92
Blue spot,Private room,51,30,244
Yellow Spot,Private room,51,30,199
Green Spot,Private room,51,30,206
Treme Creole Cottage,Entire home/apt,150,2,313
The New Orleans Sweeeet Retreat,Entire home/apt,299,3,1
Sweeeet Retreat's  Not 2 Shabby  Rm,Private room,209,3,1
6  Fleur De Lis Suite  Completely private Pool/Pet,Hotel room,95,2,126
3 Champagne Rm Free Breakfast/Wine/Pool/Pet/HotTub,Hotel room,84,2,56
Legal Rental : Elegant Lower Garden District Home,Entire home/apt,450,2,101
Big Easy Condo(close to the action),Entire home/apt,200,1,242
Mid City Apartment with Pool Access,Entire home/apt,150,30,64
Fun Studio steps to French Quarter!,Entire home/apt,100,4,270
Vibrant TREMÈ Jazz Shotgun/5 min FQ/Streetcar Walk,Entire home/apt,106,2,204
Charming House with Movie Room,Entire home/apt,364,2,66
Festive Creole Cottage-Fete' NOLA- Happy Holidays!,Private room,69,2,118
4 Bedroom/3 Bath House in Treme. Pool and Parking,Entire home/apt,325,3,187
Quiet Clean Bayou St. John Studio,Entire home/apt,100,2,277
Cozy  Comfy & Convenient Uptown/Carrollton,Entire home/apt,105,2,86
Musical & cultural extravaganza!,Entire home/apt,200,2,194
$95 per Night in January 2018! - New Year Special!,Private room,109,30,205
Hotel Storyville -A New Orleans Inn,Entire home/apt,99,2,67
Native New Orleans. Bywater near Crescent park.,Entire home/apt,66,30,70
Huge 2 Bdrm - Conveniently Located,Entire home/apt,104,3,173
Cozy Clean Safe 3Bdr/2Bth,Entire home/apt,200,30,60
$95 a Night in January 2018! - New Year’s Special!,Private room,125,30,154
Pet Friendly Maison du Madison,Entire home/apt,114,2,178
The Harlequin House,Private room,50,30,199
~Mid City Oasis~,Entire home/apt,300,2,73
Private Jacuzzi Suite  walk to Bourbon  FQ  Park,Entire home/apt,154,3,244
Stylish Retreat steps to French Quarter 1 BR,Entire home/apt,98,3,206
Home Sweet Home By The River,Entire home/apt,84,5,6
FQ/Marigny Creole Cottage Beauty - Great Location!,Entire home/apt,1029,2,137
Private Room in Mid-City,Private room,65,100,8
Steps to St Charles Ave parade route beauty galore,Entire home/apt,375,1,40
Studio in shared courtyard,Entire home/apt,70,30,12
Courtyard Cottage. A city's refuge,Entire home/apt,90,3,56
Lakeview Executive Home,Entire home/apt,175,30,118
Beautiful Bywater Shotgun w/ Bikes!,Entire home/apt,93,2,382
NOLA Uptown Gem by Streetcar & Universities,Private room,250,3,8
New Orleans 1br Suite  Avenue Plaza,Entire home/apt,208,30,15
FANTASTIC FRENCH QUARTER SUITE !,Entire home/apt,328,7,1
Tremé Creole Cottage 3 bed/2 bath,Entire home/apt,491,1,99
Lemon Tree Manor in Bywater,Entire home/apt,166,3,209
Casa Pelican B&B and Cooking School  Balcony Room,Private room,95,1,308
History  color  & art in Faubourg St. John shotgun,Entire home/apt,125,30,144
Private Uptown Room on the Mississippi River,Private room,66,2,91
Historic Carriage House,Entire home/apt,290,30,77
Charming casita  by Mississipi River,Entire home/apt,61,1,225
Charming uptown victorian!,Private room,100,2,89
Maison Thombeau - Magazine St. Riverfront Beauty,Entire home/apt,375,90,20
Creole Attic - walk to French Quarter,Private room,75,3,274
Amazing Atmosphere Hostel - Private Room for Four,Private room,132,1,9
Close to everything and cute too!,Entire home/apt,85,3,280
PIERRONOLA,Entire home/apt,78,3,152
The Laurel Bed and Breakfast,Private room,125,2,22
doll house cottage...shotgun style!,Entire home/apt,120,30,46
