name,room_type,price,minimum_nights,number_of_reviews
Cozy Cabin in the City on Cap Hill,Entire home/apt,102,2,658
Bed and Bath in Large Condo in DC,Private room,64,2,11
Romantic Studio in Perfect Location,Entire home/apt,70,180,17
PRO CLEANED! 1 bedroom apt in historic Mt Pleasant,Entire home/apt,100,7,6
Lovely Comfortable Home w/FREE PARKING,Entire home/apt,400,2,93
Cozy English Basement with Private Patio,Entire home/apt,89,1,176
Modern Luxury Loft - Immaculate - Great Location!!,Entire home/apt,100,180,24
Cozy comfort and convenience in DC,Private room,110,1,330
Chez Vous Georgetown Pied à Terre,Entire home/apt,80,300,12
3 BR/2.5BA House near US Capitol,Entire home/apt,500,2,10
2BR basement Apt near Union Station,Entire home/apt,42,2,259
Private floor  2 BR/Bath  free pkg  Van Ness Metro,Private room,120,2,77
Private Floor of House in DC  Separate Entrance,Entire home/apt,58,12,18
Large Bright Studio in DC 20016,Private room,100,7,17
Lovely room on 2nd street  nw dc,Private room,35,28,13
Metro Style Living in Washington DC,Private room,39,28,12
Luxury Penthouse Best neighborhood!,Entire home/apt,165,3,37
Gorgeous cozy room available in the heart of DC,Private room,28,28,13
Private BR Shared Bath Sunny TH - B,Private room,65,1,19
ColumbiaHeights/Petworth Row Home,Private room,89,1,39
Gorgeous Inauguration Rental,Entire home/apt,2000,4,0
Prime location on Capitol Hill,Entire home/apt,90,7,15
Spacious English Basement Apt w/ Natural Sunlight!,Entire home/apt,85,2,27
Spacious studio near Adams Morgan,Entire home/apt,80,2,24
Bedroom In Shadow of The Capitol,Private room,72,21,11
Tenleytown/AU Park Basement Apt.,Entire home/apt,100,30,50
Cozy room right next to the petworth metro station,Private room,39,28,10
PERFECT ROOM FOR INTERNS OR STUDENTS,Private room,35,28,11
Chic Sanctuary in the Capital,Entire home/apt,105,3,98
The Rock Creek Cozy  One Bedroom,Entire home/apt,143,2,58
SPECTACULAR VICTORIAN HOME IN LOGAN CIRCLE!,Entire home/apt,500,4,167
Chic and in the City Room,Private room,350,1,1
welcome to foggy bottom - on metro!,Entire home/apt,210,120,158
