name,room_type,price,minimum_nights,number_of_reviews
Beautiful Condo in Chicago,Entire home/apt,85,30,30
Chicago Women's Residence/ Paris Rm,Private room,45,2,6
Chicago Women's ResidenceFlorenceRm,Private room,45,2,10
Chicago Women's Residence Midler Rm,Private room,45,2,10
Charming space in Boystown/Lakeview,Private room,79,2,320
Mid-Century mdn twnhs in Lakview,Entire home/apt,114,6,29
MODERN LOFT Downtown by McCormick w/KING BED WiFi,Entire home/apt,21,30,22
Studio at the Lake,Entire home/apt,49,30,47
Private room in a cozy city condo,Private room,43,1,132
Lincoln Park Studio  Great Value!,Entire home/apt,99,30,541
Boystown Studio  Outstanding Value!,Entire home/apt,97,28,504
3 Bedroom Charming Vintage Hideaway,Entire home/apt,80,30,314
Wicker Park - Garden At The Heart of It All,Entire home/apt,141,4,182
Chicago 10 Minutes to MAG MILE!,Private room,70,2,9
Spacious 3BD Home in Ravenswood,Entire home/apt,130,1,11
Jumbo 4br in the Wicker/Ukranian,Entire home/apt,225,7,22
Private room near UIC Medical Dist.,Private room,103,1,103
Lincoln Park Single Family Home,Entire home/apt,474,2,77
Historic walk-up  safe area  close to everything!,Private room,110,1,23
Logan Square Vintage Deluxe Suite,Private room,85,3,306
Wrigley Hostel - Queen Bed Room,Hotel room,70,1,37
Private bed & bath w/garage parking,Private room,61,2,125
Bright open house  garden & deck,Entire home/apt,168,3,24
Cozy room in Charming Apartment,Private room,43,2,86
Trendy Downtown 2 Bedroom,Entire home/apt,315,12,14
02b. Twin bed in Coed Space,Shared room,19,1,153
Quaint Serenity in Bronzeville,Private room,55,2,123
01b. Twin bed in Shared Foster Cat Room,Shared room,19,1,99
The Biddle House (#2),Entire home/apt,105,4,39
The Biddle House (WHOLE HOUSE),Entire home/apt,401,4,16
Best Location Millennium Park Extended Stay POOL,Entire home/apt,60,31,18
Private room in Chicago,Private room,55,3,94
Charming Home in Chicago,Private room,49,2,166
Spacious & serene in hip spot. Sleeps 4.,Private room,89,2,187
Magic Factory Lofts  - Not your typical Airbnb,Entire home/apt,212,3,26
The Historic Florsheim Mansion,Entire home/apt,328,2,55
Gorgeous Apartment in Bucktown,Entire home/apt,149,2,293
Private Northside Chicago Apt Near Beach & Transit,Entire home/apt,96,2,102
Lincoln Park/De Paul area.,Private room,64,4,275
East Pilsen,Entire home/apt,149,2,40
Private Nook in Leafy Andersonville,Private room,70,4,275
Quiet Rooms2 in Quiet Neighborhood,Private room,32,2,84
Park Views-Walk to Orange Line(MDW),Entire home/apt,55,1,277
iKlektik House // Cardinal,Entire home/apt,85,2,324
Cozy 2BR Apt - Humboldt Park,Entire home/apt,88,59,111
Victorian greystone near Loyola U!,Entire home/apt,95,3,232
*Recent Price Drop! Superb location!,Private room,71,1,96
LUX Condo Downtown BEST LOCATION ON MAG MILE AVE,Entire home/apt,153,32,7
Spacious Stylish One Bedroom Apt In HydePark,Entire home/apt,69,2,338
Lake View 2BR/2Bath w/ Pool  Gym. Annual lease.,Entire home/apt,155,365,0
Casa Corazón (W) near Rush / UIC,Private room,70,2,120
South Loop Cozy 2BdRm parking&WiFi&NetFlix,Entire home/apt,59,1,480
LARGE Private 1BR/Full Bath near U of Chicago,Private room,59,5,330
Musician's Quarters,Entire home/apt,115,3,47
BIG LOFT Location RIVER WEST Brick,Entire home/apt,140,60,0
