name,room_type,price,minimum_nights,number_of_reviews
Housepitality ~ The Traveler's Bungalow (Flexible),Entire home/apt,104,1,223
4th Street Apartments,Entire home/apt,80,4,52
Private clean  quite room and bath in a safe area.,Private room,41,3,40
Converted Historic Railroad House,Entire home/apt,85,1,137
Wonderful Weekend or Relaxing Extended Stay Space,Private room,50,1,66
Columbus Comfort. Close to all top attractions!!,Entire home/apt,249,2,96
Short North Apartment just steps from ~EVERYTHING!,Entire home/apt,87,6,114
Guest Suite @ OSU & Short North Arts District,Entire home/apt,40,2,379
Sleeping in the City,Entire home/apt,100,1,191
Lovely South Columbus/Casino Minutes Away,Private room,275,1,1
Olde Towne East Historical Home,Entire home/apt,320,30,17
A Zen Art Oasis - Private Guest Room,Private room,85,2,53
3 BR home~Easton~Airport,Entire home/apt,72,1,197
Retro Retreat in the Short North Arts District!,Entire home/apt,125,3,49
Conveniently located 1-bed apartment,Entire home/apt,37,2,90
The Gallery (Short North/OSU/Downtown),Entire home/apt,69,1,260
3rd Floor Suite in Historic Home on Goodale Park,Entire home/apt,125,2,96
Loft Carriage House—Short North/Convention Center,Entire home/apt,220,2,72
Urban II 3 BR 1 BA+Parking  Monthly Rates Avail!,Entire home/apt,116,1,210
Comfy home near OSU  Dublin  Worthington,Entire home/apt,90,2,86
Short North 4 Bedroom House,Entire home/apt,364,1,70
Lovely South Palace,Shared room,270,1,0
German Village / Brewery District,Private room,70,30,71
Bustling Brewery District Bungalo!,Entire home/apt,111,1,181
Private queen bedroom 2 - N. Campus,Private room,28,3,12
Cozy Townhome Next to OSU and Short North (B),Entire home/apt,126,2,165
Short North Studio Apt. w/Off-street Parking,Entire home/apt,76,7,370
City Vibe (Short North/Victorian Village),Private room,89,1,157
Grandview Post-War Charmer,Entire home/apt,93,2,153
Modern Ranch  WiFi  Garage  55 TV  Roku  Huge Yard,Entire home/apt,110,2,86
A Taste Of Europe,Entire home/apt,89,2,42
Ramona's Hideaway,Entire home/apt,125,1,142
Goodale Park Carriage House - heart of Short North,Entire home/apt,93,1,254
Standard space near OSU,Private room,85,5,1
Carriage House on Wall Street,Entire home/apt,120,2,101
Triple Private Room at the Hostel,Private room,80,1,14
Family Room at the Hostel,Private room,127,1,10
Clintonville Charmer Room #2,Private room,41,1,60
Entire Olde Town East Condo,Entire home/apt,71,1,135
Short North/Central Italian Village Home,Entire home/apt,375,1,66
German Village area home,Entire home/apt,96,7,10
Duncan Street Haven - Remodeled 2 Bedroom,Entire home/apt,135,1,143
Peaceful Room in Devonshire,Private room,33,3,65
Huge New German Village Getaway  Patio  & Fire Pit,Entire home/apt,148,1,175
Lovely  2 BR  by bike path  2 miles to OSU,Entire home/apt,102,2,102
A Secluded and Tranquil City retreat,Private room,98,1,32
Historic Studio Loft - Primo Location,Entire home/apt,94,2,206
Studio with a View,Entire home/apt,100,1,223
Doc's Retreat: 2BD House  Walk Downtown Nationwide,Entire home/apt,150,30,15
Bedroom with private bath,Private room,55,3,47
Housepitality ~ The Beautiful Bungalow (Flexible),Entire home/apt,107,1,170
Beautiful  spacious home  walking distance to OSU,Entire home/apt,229,2,17
Comforts of Home -Instant book,Private room,49,5,84
Housepitality~The Franklin Park Hideaway(flexible),Entire home/apt,102,1,130
Charming Renovated Duplex  Minutes from Downtown,Entire home/apt,173,1,181
Massive Historic 4BD/3BA House near Short North!,Entire home/apt,207,1,136
Large 3BR Single Family - 1/2 Mile to High St!,Entire home/apt,131,1,90
Cozy Newly built townhouse,Entire home/apt,90,1,47
Enjoy my master guest bedroom,Private room,46,7,2
Enjoy my guest bedroom.,Private room,37,30,3
Near Polaris Shopping Mall and Entertainment!,Entire home/apt,127,2,93
Iuka I  5BR  1.5B  Parkng  Monthly Rates Avail!,Entire home/apt,114,1,105
Berwick Home Bed and Breakfast,Private room,75,3,5
Tranquil Home Away From Home,Entire home/apt,180,1,67
Cozy Private Room with Family room,Private room,47,1,91
Short North/Italian Village Townhome,Entire home/apt,111,1,136
Art at 185 German Village,Entire home/apt,81,1,234
Clintonville Apartment! Close Downtown & OSU!- C,Entire home/apt,65,3,59
Short North 4BR 2 Bath FREE PARKING + WiFi,Entire home/apt,199,2,107
Sophia's Sunny Place,Entire home/apt,151,2,61
Huge Downtown Apartment with Free Parking,Entire home/apt,139,2,101
Convenient 2BR 1/3 Mile from High St. w/ Parking!,Entire home/apt,107,1,87
Urban Brownstone where OSU meets the Short North,Entire home/apt,87,2,63
The High Street Hideaway,Entire home/apt,98,1,298
Cozy Apartment in the Heart of Grandview / OSU,Entire home/apt,95,6,59
Luxury three story apartment in SHORT NORTH,Entire home/apt,264,1,62
Tiny House! Victorian Village- Walk to OSU!,Entire home/apt,67,3,80
Haven on High St: Let's give together!,Entire home/apt,45,2,126
SPACIOUS   QUIET & COMFORTABLE 3BR TOWNHOUSE,Entire home/apt,47,2,172
University District Apartment,Entire home/apt,80,4,39
Newly Renovated Space,Private room,45,30,32
Comfy & Cozy 1 Bedroom,Private room,30,1,139
short north harrison haus,Entire home/apt,393,1,205
Great Amenities @ Shumacher Place & German Village,Entire home/apt,71,1,237
Family friendly  clean  restful stay,Private room,38,14,10
Comfy home minutes from Downtown,Entire home/apt,80,2,48
Feels like home near Easton  airport & downtown,Private room,45,1,139
Empty Nester’s Haven,Entire home/apt,75,2,18
Wilson Ave Flat Upper,Entire home/apt,58,30,108
Micro Studio Chic,Entire home/apt,100,1,131
Private Room outside of Columbus  OHIO,Private room,80,2,4
Beautiful Suburban Home in Westerville  Ohio,Private room,55,2,11
Private 2nd floor room close to OSU & Short North!,Private room,40,1,23
Weinland Park / Short North Duplex,Entire home/apt,114,1,358
Cozy  Convenient Short North/Italian Village 2BR,Entire home/apt,94,2,171
Housepitality ~ The Treat Yo' Self Retreat!,Entire home/apt,193,1,240
Spacious bedroom,Private room,45,3,39
⭐️Short North area⭐️ Easy parking. Clean& central.,Entire home/apt,112,1,155
Mission Style Old Town East Charmer near downtown!,Entire home/apt,58,1,71
Custom Home Near Short North  OSU & Downtown,Entire home/apt,551,2,38
The Legacy House - Your Home Away From Home,Entire home/apt,113,3,79
Housepitality ~ The Franklinton Inn,Entire home/apt,100,1,115
Private queen ensuite 3 - N. Campus,Private room,29,3,4
Beautiful renovated ranch in quiet neighborhood.,Entire home/apt,129,2,68
Housepitality ~ The Blue Beechwald Bungalow,Entire home/apt,116,1,138
The Worthington Home,Entire home/apt,135,2,85
Hideaway at 1007,Entire home/apt,100,2,45
☀️Guests Love the Bed! Tons of Thoughtful Touches!,Entire home/apt,77,2,192
Priv Room in a Cozy Home at the heart of Columbus,Private room,45,31,14
4 Bedroom Home Downtown Columbus Victorian Village,Entire home/apt,309,1,65
Updated Modern Home - Short North Victorian Vill,Entire home/apt,148,1,136
Colorful Restored Red Brick with Backyard Patio,Entire home/apt,164,2,131
Tiny Blue House! Close to Short North & Downtown!,Entire home/apt,109,4,55
Housepitality ~ The Franklinton Flat Upstairs,Entire home/apt,93,1,61
The Cozy Historic Brick Loft—DOWNTOWN/RIVER SOUTH,Entire home/apt,142,360,14
Italian Village Carriage House + Parking,Entire home/apt,120,2,67
Housepitality ~ The Franklinton House (Sleeps 16!),Entire home/apt,212,1,36
Short North One Bed w/Off-street Parking,Entire home/apt,76,7,280
Olde Towne East/Children's Hospital Historic House,Entire home/apt,104,1,138
Newly Renovated Short North Guesthouse,Entire home/apt,79,2,166
NEW UPDATED SHORT NORTH 3B CONDO W/ FREE PARKING!,Entire home/apt,140,1,95
The White Brick Studio @ OSU & Short North,Entire home/apt,52,2,289
Cozy Family Friendly Two Bedroom Condo,Entire home/apt,60,2,44
SOHUD Treetop Townhouse (C),Entire home/apt,45,30,105
Brewery District Homestead,Entire home/apt,182,2,85
Your Home Away From Home,Entire home/apt,110,1,45
Safety Hideaway - Medical Grade Clean Home in the Heart of Short North,Entire home/apt,74,1,345
Hip Storefront Condo in German Village,Entire home/apt,154,2,83
Sanitized  Clean  Safe 4bd/4ba whole house,Entire home/apt,200,2,28
Housepitality~The OSU Friends & Fam House-flexible,Entire home/apt,166,1,167
Artistic Olde Towne East Efficiency Apartment,Entire home/apt,53,1,319
Your Home Away From Home Near the Airport,Entire home/apt,75,1,191
Valleyview Suite,Private room,46,2,111
Oasis in the City (Near Bexley),Entire home/apt,96,2,48
Penn Place,Entire home/apt,291,1,54
Short North Nest,Entire home/apt,120,2,82
Housepitality ~ The Milo-Grogan Inn (Clean House!),Entire home/apt,99,1,107
A home away from home.,Private room,35,1,44
Short North / Weinland Park Duplex,Entire home/apt,114,1,319
2 Bedroom Suite Retreat,Private room,168,1,9
Housepitality ~ The Blue Ribbon Hideaway,Entire home/apt,105,1,120
German Village Weekend Retreat on Schiller Park,Entire home/apt,300,2,18
The Skyline Condo | Arena Convention Center,Entire home/apt,114,2,70
Serene Retreat steps away from Park,Entire home/apt,140,2,44
Flowing King Lincoln Home close to Downtown,Entire home/apt,282,2,100
Gem in German Village Close 2 Downtown w/King Beds,Entire home/apt,86,1,340
