name,room_type,price,minimum_nights,number_of_reviews
Stylish 3/2/2 with large backyard,Entire home/apt,185,30,55
Historic SOUTHAustin Retro Groovy LOFT 78704 proud,Entire home/apt,135,2,333
Spanish Hacienda mile from downtown,Private room,60,2,259
Big cute clean Casita in SxSAustin!,Entire home/apt,69,3,114
Barton Hills Man Cave Very Private,Private room,225,2,22
2 bdrm Condo at  360 Bridge,Entire home/apt,350,4,0
Very convenient for SxSW,Entire home/apt,600,3,2
Hip  convenient home in 78704!,Entire home/apt,400,3,9
█ Swanky Townhome+Rooftop | Downtown | 6th Street!,Entire home/apt,429,1,232
Quaint East Austin 2BR SXSW 2016,Entire home/apt,694,4,2
The Perfect Austin Modern Home,Entire home/apt,207,2,85
Amazing Urban Hideaway for SXSW!,Entire home/apt,625,4,4
Holiday Haven: 3/2 Mid-Century Mod-Central Austin,Entire home/apt,750,2,1
Chic 1953 Spartanette Guesthouse,Entire home/apt,98,1,431
3/2 House w/ Pool in Barton Hills,Entire home/apt,500,1,13
Spacious 3/2 East Austin Home,Entire home/apt,240,4,47
4th St Loft in Downtown Austin!,Entire home/apt,178,1,370
Charming Central Austin Apartment,Entire home/apt,80,30,0
Dream Location  Creative 5-Bedroom House w Jacuzzi,Entire home/apt,928,3,36
Renovated Central Austin Spacious  Guest House,Entire home/apt,95,29,5
Hillside designer home 10 min.dwntn,Entire home/apt,495,3,6
Urban Homestead  5 minutes to downtown,Private room,58,2,473
Entire Upstairs &  New HotTub Near Apple & Domain,Private room,111,2,15
One Room with Private Bathroom,Private room,100,2,0
House for rent in  North Austin,Private room,109,1,0
RARE SECLUDED 1940s ESTATE  Safe Cleaning Protocol,Entire home/apt,214,3,128
Walk to Downtown Homestay Pink Room,Private room,68,1,140
Great SXSW East Central Apartment,Entire home/apt,250,1,2
4Bed/2Bath Sleeps 16+ w Pool  HotTub  Sauna & Gym,Entire home/apt,1000,2,35
1800 Sq ft  3-2 home in NW Austin,Private room,80,32,33
Eastside House - Near Downtown!,Entire home/apt,177,2,194
Central East Private Room- Close UT,Private room,120,2,69
Greenbelt Professional Loft,Entire home/apt,400,4,0
2 Bedroom duplex for monthly rental,Entire home/apt,50,30,15
