name,room_type,price,minimum_nights,number_of_reviews
Beautiful!! Just Minutes from Downtown!  Hot Tub!,Entire home/apt,199,3,11
Brand New Modern Stapleton Home,Entire home/apt,187,2,133
Amazing Guesthouse-Perfect Lohi/Highland Location,Entire home/apt,129,2,149
Highlands Mansion:,Private room,163,1,146
Private Queen Room w Ensuite Bath,Private room,74,2,147
Cozy  Convenient Condo in Cherry Creek,Entire home/apt,117,30,26
Cozy Cottage in Lower Highlands 2BR,Entire home/apt,150,30,20
Cozy condo  700 sq ft. near Lowry,Entire home/apt,75,160,13
Peaceful Queen in Congress Park,Private room,79,2,202
Cozy Cottage in Lo Highlands Mr bed,Private room,106,30,10
Minutes from Downtown!  Beautifully Remodeled!,Entire home/apt,199,3,120
Sloan's Lake Highlands Bungalow,Entire home/apt,250,14,16
Quiet Kirk Street Vacation Rental,Entire home/apt,281,2,37
Classic Home on Capitol Hill,Entire home/apt,185,3,20
Modern Urban Oasis in Rino,Entire home/apt,562,1,187
2 BD House in Lower Highland,Entire home/apt,120,7,34
Authentic loft in Lodo across from Union Station,Entire home/apt,190,30,37
4 BR Close to Downtown & Cheeseman / City Park,Entire home/apt,325,3,1
Gorgeous 2 BR  2 BA Townhome!,Entire home/apt,137,4,61
Private basement apartment on park.,Entire home/apt,93,2,98
1BD City Park Carriage House,Entire home/apt,55,30,20
RiNo/City Park Family Home with a Gym,Entire home/apt,144,5,120
Modern Oasis Near RiNo Arts District,Entire home/apt,164,2,102
Sunny Room-Private Bath-Close to Everything Denver,Private room,49,30,172
CountryClub home  Quiet  Safe  Gated  Exclusive,Private room,77,31,12
Unique 3-Level Loft in Famous Ballpark Neighborhood,Entire home/apt,105,30,481
Carriage House in Historic Baker,Entire home/apt,139,4,234
In Highlands w/Garage!,Entire home/apt,168,2,113
Downtwn 3bd House Centrally Located,Entire home/apt,139,1,84
SunnysideSweetSpot:Close In:420: 1BR/1BA,Entire home/apt,403,30,15
Newly remodeled ground level basement 3 BR,Private room,125,31,10
Room/Bath in Historic Mansion,Private room,115,1,171
SkyView Loft  in Healing Center ~ 30 DAYS OR MORE,Entire home/apt,80,30,94
Historic Highlands Carriage House!,Entire home/apt,93,2,328
Best Loft in Denver  Lodo,Entire home/apt,750,30,3
Modern 1 Bed / 1 Bath Apartment in Uptown,Entire home/apt,110,60,5
New Reno! Huge 3 story walkable uptown loc+ garage,Entire home/apt,123,29,154
5 Min to Downtown - Cozy Twin Room,Private room,40,30,11
Johnny los medx,Entire home/apt,288,3,30
The Spectrum Inn,Entire home/apt,85,3,156
Unbeatable Location to Work Remote!,Entire home/apt,252,30,41
own bed and bath,Private room,28,30,13
Newly Renovated 1890 Denver Queen Anne  sleeps 10,Entire home/apt,529,3,58
Artsy & Cozy private 1 bed/1 bath,Entire home/apt,135,1,446
Modern Historic Carriage House in Central Denver,Entire home/apt,149,2,341
Cozy-Cool Highlands Cottage,Entire home/apt,100,30,21
A Modern Downtown Condo by Hospital,Entire home/apt,110,30,42
Historic & Fresh Home in RiNo,Entire home/apt,146,30,411
Full of Character AND Comfortable !,Entire home/apt,89,1,341
Living Room For Rent in 1 BR Apt,Private room,60,1,0
Kid Friendly Home-Great Location with Sauna,Entire home/apt,175,7,9
Cozy Congress Park House with great walk-ability!,Entire home/apt,125,2,45
Sunny Condo! Close To Downtown!,Entire home/apt,78,29,26
CHERRY CREEK NORTH! Long-Term Only (30+Days),Entire home/apt,125,30,12
1910 Bungalow in Park Hill (2016-BFN-0008399),Private room,86,2,247
Updated Downtown Apartment in Baker with Off-Street Parking,Entire home/apt,132,2,308
☀░ Downtown High Rise SPIRE - Furnished 1br ☀,Entire home/apt,75,60,2
Exceptional Loft Living,Entire home/apt,130,30,1
Entire home available/pet friendly,Entire home/apt,219,3,134
Uptown Modern Victorian Condo,Entire home/apt,105,30,27
Warm & Inviting Home  Conveniently Located,Private room,131,3,25
Charming Victorian in Curtis Park,Entire home/apt,150,2,37
Cozy Studio in Berkeley/Highlands--Denver's Best!,Entire home/apt,70,2,277
WIN! Best location*Quiet*Balcony*  CLOROX CLEAN!,Entire home/apt,48,30,36
ExecCornerPenthouse-the BEST views,Entire home/apt,144,90,0
Victorian 1BR Apt Sobo/Baker/W Wash,Entire home/apt,79,30,38
Denver's Santa Fe Arts District,Entire home/apt,130,30,69
RiNo Den,Entire home/apt,128,2,322
1938 Updated Park Hill 4 bedroom,Entire home/apt,350,4,9
Completely Private Spacious Studio on Bear Creek!,Entire home/apt,70,7,258
LoHi Denver Cozy Cottage 2BD,Entire home/apt,109,1,252
Gorgeous Governor's Park Apartment,Entire home/apt,85,30,59
Urban Nest in ❤️ of Denver,Entire home/apt,131,1,174
Historic Capitol Hill Mansion,Private room,96,2,166
Cozy Cottage in Lo Highlands  2nd b,Private room,73,30,0
Downtown Denver Union Station LoDo Loft Retreat,Entire home/apt,123,3,142
Historic Retreat on Highland Square,Entire home/apt,100,1,359
Artist's Home in Denver's Heart,Entire home/apt,77,31,14
Immaculate - Downtown Curtis Park,Entire home/apt,85,29,254
2 bedroom 2 baths  Mt Views sleeps 4,Entire home/apt,105,30,10
Cozy 1 bedroom basement level apartment,Entire home/apt,49,2,167
Modern  clean  great location in Highlands,Entire home/apt,115,30,91
Cozy Bedroom in Congress Park 2,Private room,34,31,73
Large  Queen size Bedroom Denver DTC  I-25 / I-225,Private room,50,3,24
Bright Cap Hill Apt w/parking and free laundry.,Entire home/apt,115,60,37
Private Attic Bedroom by Light Rail,Private room,30,1,305
Central  laid back  & convenient :),Private room,29,1,329
Charming Urban Loft Near Downtown,Entire home/apt,175,30,9
RiNo  Ballpark  & Downtown,Entire home/apt,155,2,167
The Garden Suite,Entire home/apt,91,30,26
Cozy Sante Fe Style Studio,Entire home/apt,80,5,129
Private balcony w/downtown view! Brooks Tower 6G,Entire home/apt,78,30,4
Cozy 1 bedroom unit in hip area!,Entire home/apt,106,1,369
Space★Sun★Private XLYard w. Fireplace StockedHome!,Entire home/apt,292,1,140
Downtown Apt - Amazing City View! Brooks Tower 6I,Entire home/apt,58,30,7
Urban Studio Life! Brooks Tower 5F,Entire home/apt,59,30,8
CHEESMAN Park Getaway in Denver,Entire home/apt,98,30,80
Private Suite on Beautiful Wooded Street,Private room,59,2,120
★ Penthouse ★Balcony★ Chef's Kitch ★ Garage,Entire home/apt,118,3,330
Charming Bungalow near Wash Park,Entire home/apt,179,4,69
Clean Comfortable near Downtown,Entire home/apt,125,1,1
Downtown Life w/Balcony! Brooks Tower 5K,Entire home/apt,68,30,3
Downtown living! Brooks Tower 6H,Entire home/apt,78,30,0
2x2 with Private Outdoor Space! Brooks Tower 5L,Entire home/apt,98,30,3
Wash Park Guest House - Walkable - Fast WiFi!,Entire home/apt,119,1,231
Clean  Sloan’s Lake apartment 1bed/1bath  parking.,Entire home/apt,100,1,204
Highlands Mini Mansion,Entire home/apt,511,2,169
1880s Historic Garden Apartment 420 Friendly,Entire home/apt,113,3,228
Centrally Located and Easy Access,Private room,30,2,123
Cozy Private Entrance Garden Apartment,Entire home/apt,90,2,147
Upstairs of Charming cottage style (1 of 2 bdrms),Private room,56,4,75
Historic Carriage House in Denver's Oldest Neighborhood,Entire home/apt,126,1,771
Cozy  Private  Spacious Bedroom and Bathroom,Private room,53,2,412
Rock House in Berkeley neighborhood of Denver,Entire home/apt,228,3,58
Downtown Mountain & City Views 2b/2ba,Entire home/apt,60,31,119
Room in Cozy Duplex in Cap Hill!,Private room,83,1,197
Duplex in Cap Hill! Walk to Convention Center!,Entire home/apt,210,2,89
Private bd/bth in lovely Victorian (longterm only),Private room,35,30,34
3 Blocks to Highlands Square!,Entire home/apt,345,2,43
Sunny  remodeled 1 bedroom unit!,Entire home/apt,106,1,401
Live Like a Local in Trendy RiNo,Private room,110,1,425
Oasis in the middle of the City - Spacious Bedroom,Private room,39,2,14
Daybed in the living room,Shared room,21,1,190
Highlands Mansion: Garden Suite,Private room,249,1,42
Modern Townhouse in Downtown Denver,Entire home/apt,248,2,119
Hip S. Broadway 2 BR Historic Denver  Private Yard,Entire home/apt,118,3,195
Modern StandAlone 2 Story Loft/RiNo,Entire home/apt,200,90,230
Norway House  an Exquisitely Renovated 1907 Home,Entire home/apt,260,3,142
Luxurious Heart of Denver 3.5B/2.5B entire home,Entire home/apt,328,4,109
Central  Comfortable  and Artsy,Entire home/apt,160,3,22
Elegant * ❤️ of  the City * Victorian Home!,Entire home/apt,349,30,71
Cool and Fun * Open Layout * Beautiful Structure!,Entire home/apt,166,30,65
2 Private Bedrooms in East Denver. 420 Friendly!,Private room,90,1,276
Cozy Room on Cheesman Park,Private room,39,5,158
Private Suite in Minimalist Architecture Home,Private room,104,2,127
DU/Washington Park Bungalow w/ Loft  South Denver,Entire home/apt,98,4,143
Style Inn - A beautiful condo NEXT to The Fillmore,Entire home/apt,114,2,188
Denver Oasis: Clean  Comfortable  Friendly!,Private room,65,1,125
Cute home in historic Five Points,Entire home/apt,157,2,7
Modern apartment  cool neighborhood,Entire home/apt,100,500,3
HUGE 1 BR Flat in Denver Victorian,Entire home/apt,75,30,20
Two Bedroom Condo in Cherry Creek,Entire home/apt,96,30,61
Penthouse in the Heart of it All!,Entire home/apt,295,30,6
Snazzola-Hidden Gem City Park-Central  -DOG ok,Entire home/apt,96,30,24
Carriage House in Uptown,Entire home/apt,126,3,209
Spacious  bright and beautiful home in RiNo,Entire home/apt,201,1,364
Cozy Basement Suite near RiNo,Private room,54,3,173
Carriage House Retreat - Self Contained House,Entire home/apt,96,2,402
LoHi Townhouse - BFN-5172,Entire home/apt,389,2,27
Highlands Mansion: Exotic King!,Private room,249,1,32
A Capitol Hill Escape,Entire home/apt,96,2,283
Quiet Home Near Light-Rail in Safe Neighborhood,Entire home/apt,360,1,50
Modern House near Denver/Sloan Lake,Entire home/apt,165,30,5
New 3bd Rowhome in Trendy RiNo!,Entire home/apt,334,1,116
❤️Denver | Loft Style Apt | Private Hot Tub I,Entire home/apt,122,1,574
The Gables,Entire home/apt,125,30,9
Minutes from I-225/I-25  [ DIA 30mins]  SE Denver,Private room,59,1,603
Stunning Luxury City Victorian - Peloton/Spa/More!,Entire home/apt,495,3,136
Sunny Cottage in the Historic and Trendy LoHi Neighborhood,Entire home/apt,91,7,534
02 Awesome Room for 1 or 2 in an Awesome Home,Private room,45,7,33
Hip Rino Basement Suite Near Downtown,Entire home/apt,108,2,416
Urban Depot (30-day Min) - Spacious 2bd,Entire home/apt,69,30,60
Let the Light in at a Homey Townhouse with a Natural Vibe,Entire home/apt,128,30,63
Amazing House! Downtown Walk EVERYWHERE Sleeps 10!,Entire home/apt,216,30,216
Highlands Townhome Dog Friendly No Clean Fee,Entire home/apt,123,2,128
NEW! Bright Denver Apartment-15 MinTo DIA&UCH,Entire home/apt,69,30,13
Congress Park Lux Retreat,Entire home/apt,66,90,17
Capitol Hill -  Heart of the City,Entire home/apt,95,2,243
Bright  remodeled 2 bedroom unit!,Entire home/apt,114,2,225
Beautiful Capital Hill Condo!,Entire home/apt,90,30,66
Downtown Studio in Capitol Hill- 30 Night Minimum,Entire home/apt,69,30,137
