name,room_type,price,minimum_nights,number_of_reviews
Private apartment,Private room,170,91,0
Elegant contemporary 2Br,Entire home/apt,248,45,96
Charming Third Floor Apartment,Entire home/apt,145,14,123
HOLIDAY IN HARVARD SQUARE. EASY COMMUTE TO BOSTON,Entire home/apt,179,91,17
Bright  Beautiful 2 Bed 2 Bath near Kendall/MIT,Private room,108,180,1
Harvard-Central Studio loft with rooftop,Entire home/apt,198,91,11
Cozy Bedroom nr Harvard/MIT/Kendall,Private room,100,91,68
Sunny 3BD House near Harvard Square,Entire home/apt,410,7,30
Lux Corner 2Br near MIT/Kendall,Entire home/apt,253,90,46
Sunny Huron Village Apt. w/ Terrace,Entire home/apt,181,3,271
Studio-type space near Central Square,Entire home/apt,70,32,50
Lovely apt easy walk to Harvard Sq,Entire home/apt,178,2,145
Lux Furnished Cambridge 1-BR Apartment,Entire home/apt,514,91,1
Luxury Harvard/MIT Victorian,Entire home/apt,264,1,149
Sunny 3 bed/2 bath-5 min to T- Harvard/MIT/Boston,Entire home/apt,199,1,74
Room w/private bath+fridge+microwave-,Private room,59,3,73
Big 2 bedroom  steps to Davis Sq,Entire home/apt,171,120,5
2BRM  with Parking - near Harvard & Porter Sq,Entire home/apt,111,30,18
Lux Kendall Square 1 Bedroom w/gym  WiFi,Entire home/apt,179,21,10
Private Entrance Room in Cambridge,Private room,70,2,56
Top floor apt with deck-brand new kitchen!,Entire home/apt,310,91,5
2BR Walk to Harvard/MIT/Red Line T,Entire home/apt,242,1,290
Single family house / Cambridgeport,Entire home/apt,550,3,19
Nice room near Harvard Square,Private room,70,2,131
Harvard Square: Historic & Cheerful,Entire home/apt,289,4,27
Warm and welcoming,Private room,88,1,124
Sunny+Spacious +AC/walk to T Davis/Porter/Harvard,Entire home/apt,385,2,139
Guest room @ Harvard/MIT Central Sq,Private room,91,1,51
Modern Furnished 2-Bedroom Apt in Kendall Square,Entire home/apt,686,91,5
Smack dab between Harvard+Porter 2,Private room,90,2,150
Smack dab between Harvard + Porter!,Private room,90,2,187
#Luxury Kendall Square Furnished 2BR Apartment,Entire home/apt,686,91,17
Room near Alewife Red Line T stop.,Private room,60,1,29
Cambridge Cottage - Garden Room,Private room,58,3,273
WALK EVERYWHERE Heart of Harvard-MIT Private Room,Private room,149,2,25
Steps away from Harvard  Inman Sq,Private room,84,1,178
Convenient & Cozy in Cambridgeport,Private room,113,2,71
2Br Lux Apt near Fresh Pond/Harvard,Entire home/apt,239,75,41
Harvard Cambridge Large room,Private room,78,1,348
Big sunny artist's 1BR near Harvard,Entire home/apt,120,32,58
Charming house in Cambridge C33W,Private room,45,32,10
Your Own Private Bedroom  Bathroom AND Living Room,Private room,129,1,156
Charming 1 bed loft-Walk to Harvard,Entire home/apt,114,100,25
Bright Loft-Walk to Harvard,Entire home/apt,183,90,20
Walk to Harvard- modern studio,Entire home/apt,142,95,17
Stroll to Beautiful Harvard Square,Entire home/apt,125,90,20
New Modern Studio-Walk to Harvard,Entire home/apt,150,90,24
2Br Harvard/Fresh Pond Lux Apt,Entire home/apt,234,32,40
Lux Furnished 1-Bedroom Kendall Square Apt.,Entire home/apt,514,30,5
Mid-Cambridge Apt in Great location,Entire home/apt,109,29,60
7 minute walk to Boston & subway,Private room,76,2,187
Top flr lux apt near MIT/Harvard,Entire home/apt,261,60,66
4BR+3BA: MIT/Harvard/Fenway Park/Longwood Med/BU,Entire home/apt,320,7,80
Private room and bath  walk to Harvard & MIT,Private room,95,2,60
1 BR near Kendall/MIT,Private room,89,91,30
Sunny Master Bedroom Walk to Harvard!,Private room,30,92,7
Historic  Sunny & Updated By Harvard Square!,Private room,50,1,52
Perfect  Location between Harvard and MIT.,Entire home/apt,256,2,440
Lovely room: walk to  Harvard Square with parking,Private room,85,2,227
Private bedroom/office in Cambridge,Private room,110,91,9
Tufts  MIT  Harvard  Davis & Porter Sq. Cambridge!,Entire home/apt,150,30,34
1BR duplex  walking distance to Harvard Sq.,Entire home/apt,130,2,240
ENJOY CAMBRIDGE THIS SUMMER AND BEYOND. SLEEPS 8+,Entire home/apt,528,91,2
A Room at the Top-separate entrance  private bath,Private room,125,4,76
Cambridge Bed and Bath,Private room,91,1,166
One Bedroom Between Harvard & MIT (1562),Private room,120,1,23
Spacious 1 BR  1.5 bath. Central Sq,Entire home/apt,120,31,90
Central Square Studio w Balcony,Entire home/apt,90,180,2
Lux Furnished 1-Bedroom Cambridge Apartment!,Entire home/apt,514,91,1
Furnished LUX 1-Bedroom Cambridge Apartment!,Entire home/apt,514,91,4
Luxury 2-Bedroom Kendall Square Apt. by MIT!,Entire home/apt,686,91,5
Furnished 2BR Kendall Square Apt near MIT,Entire home/apt,686,91,2
Lux Furnished Kendall Square 2-Bedroom Apt,Entire home/apt,686,91,10
One Bedroom Close to MIT (1172),Private room,100,1,34
One Subway Stop to Harvard Two Stops to MIT (A),Private room,101,1,28
3BR/3BA Home@Harvard&MIT w/Parking,Entire home/apt,346,5,106
2 BR/1 BA Apt between Harvard/MIT + Parking!,Entire home/apt,217,30,131
2BR+2 BA Home between Harvard/MIT & Onsite Parking,Entire home/apt,250,3,86
2 bedroom - 5 min walk to T stop,Entire home/apt,149,3,147
Clean  bright  fully furnished apt,Entire home/apt,131,2,90
Semi-private room close to Harvard!,Shared room,37,1,10
One BR near MIT/Kendall/Harvard,Entire home/apt,198,45,45
Entire condo short term rental. June 24- August 7,Entire home/apt,100,14,6
Cheerful 2 BR Grd Floor Apt June-August,Entire home/apt,160,30,29
Spacious 2-Bedroom - Ideal Location in Cambridge,Entire home/apt,299,91,11
sunny 2-level apt. near Harvard,Entire home/apt,199,3,58
1A CAMBRiDGE HARVARD MiT LOCATION SPOTLESS 1BR!,Entire home/apt,153,1,109
3Bdr with parking in West Cambridge,Entire home/apt,252,60,52
Charming apt easy walk to Harvard,Entire home/apt,201,2,80
Nice Space near Harvard University,Private room,371,1,352
Elegant Apartment Harvard Square,Entire home/apt,390,91,27
