name,room_type,price,minimum_nights,number_of_reviews
Light-filled Modern Bungalow at Musician's Hideaway,Entire home/apt,295,3,91
Nashville City  Broadway   Vanderbilt Pets Welcome,Entire home/apt,151,1,467
Explore Nashville from a Quirky  Colorful Home,Private room,115,2,223
4 BR Home  10 min to Dwntwn,Entire home/apt,300,2,26
❤️ Private Music City Condo  7 Minutes to Downtown,Entire home/apt,109,3,98
Poodle Springs  Luxury Lodging,Private room,150,30,23
Private Suite in Hip East Nashville,Private room,145,2,58
12th S- WALK TO RESTAURANTS!! 3 MILES TO DOWNTOWN,Entire home/apt,301,3,163
Loaded Vagabond Studio (Near Opry and Downtown),Entire home/apt,60,2,276
Belmont Home Perfect for Family Fun this Fall!,Entire home/apt,400,2,8
Mulberry House  Upscale Guest Cottage in Nashville,Entire home/apt,275,2,4
Cozy 2BR East Nashville suite,Private room,90,2,66
Convenient Private Room in Midtown,Private room,66,30,51
DOWNTOWN 7000 sf Mansion 7 Min to Broadway!,Entire home/apt,468,1,111
Travelers SUNNY PARADISE ROOM No Smoking only plz,Private room,30,31,8
Charming private apt. in hip area,Entire home/apt,95,1,716
Spacious 4BR House near Downtown,Entire home/apt,296,2,109
Welcome to 12 South comfort!,Entire home/apt,471,2,17
Private 1BD studio that sleeps 4,Entire home/apt,99,30,8
Cozy Chic Cottage in Popular East Nashville,Entire home/apt,372,3,64
Belmont Modern Loft Guest House,Entire home/apt,137,1,107
Hot West End Condo-walk to fun!,Entire home/apt,200,30,6
Spacious Downtown Condo Off Broadway,Entire home/apt,221,2,392
Casual Comfort at The Hotel Not California,Entire home/apt,128,2,86
Spacious Home in Cool East Nashville - #2019071966,Entire home/apt,302,2,39
Convenient Room in Midtown by Vandy,Private room,80,30,1
Cozy 1bed-1bath Apartment w/ Central Location!,Entire home/apt,80,2,116
Apartment on Broadway!,Entire home/apt,77,1,630
East Nashville & Easy Bike Downtown,Entire home/apt,120,1,71
New  Spacious  Clean  near Downtown,Entire home/apt,361,3,49
Sylvan Park Guest Quarters,Entire home/apt,60,30,50
Downtown Hostel - Private Dorm,Hotel room,63,1,173
Serene  Cozy Getaway; Lipscomb  Vanderbilt 12South,Entire home/apt,91,2,110
12th South Dream Retreat,Entire home/apt,345,2,197
Location! Music Row Gulch Downtown!,Entire home/apt,112,1,486
Restrung East Nashville Condo,Entire home/apt,131,3,248
Charming flat in heart of Nashville  Sylvan Park,Entire home/apt,115,1,465
Cozy Bungalow,Entire home/apt,106,2,113
Cottage-Style East Nashville Home close to Downtown,Entire home/apt,101,1,423
Downtown Hostel (Coed Shared Dorm),Hotel room,34,1,619
Spacious East Nashville with pool,Entire home/apt,414,3,222
Five Star Buena Vista East Nashville Loft,Entire home/apt,105,2,264
Love Nashville? Paradise Ridge,Private room,85,1,219
Historic Suite in East Nashville,Private room,89,1,303
Beautiful Home Very Close to Downtown,Entire home/apt,200,3,33
Family Home Downtown Nashville,Entire home/apt,329,2,142
Modern Cottage East Nashville,Entire home/apt,90,2,270
Southern Charm on the Farm,Entire home/apt,95,2,160
Luxury  Shabby Chic Dollhouse  Home~BEST LOCATION!,Entire home/apt,249,30,8
Nature in Music City,Entire home/apt,105,30,0
Private Entry/1895 Victorian,Private room,104,1,376
King Bed ★ Yard + Patio ★ STEPS from Dining & Shops ★ Mins to Downtown Nashville,Entire home/apt,153,1,82
SWANKY PAD  KILLER LOCATION!!!,Entire home/apt,100,30,7
Stylish Condo in Trendy 12South,Entire home/apt,132,29,24
Professionals Oasis  Private Bath  Entr  Prkg,Private room,29,30,38
Cozy Downtown Nashville Room,Private room,132,1,85
Modern Condo & Pool Downtown Close!,Entire home/apt,80,1,640
1BR/1BA Music Row Long-Term Executive Suite,Entire home/apt,72,30,97
Urban Art District Abode,Entire home/apt,97,1,575
DOWNTOWN CONDO - 15 min. WALK TO BROADWAY w/ Pool!,Entire home/apt,101,1,270
Trendy  Brand New Condo One Mile From Downtown.,Entire home/apt,182,1,8
Belmont 12th South DREAM HOUSE: Top rated home,Entire home/apt,709,2,69
8th Avenue Oasis,Entire home/apt,83,3,271
Award Winning Private Cottage NASHVILLE,Entire home/apt,67,1,578
Scandinavian Style Apartment in Heart of East Nashville,Entire home/apt,105,1,505
East Nashville Victorian Home,Entire home/apt,295,2,65
Big & Cozy East Nashville Retreat,Entire home/apt,271,2,322
*NO CLEANING FEE - 3 Room Private Suite*,Private room,79,1,84
Stylish Condo Centrally Located,Private room,68,2,21
East Nashville Roost,Entire home/apt,280,2,137
PERFECT Location ★ 3 BR/2 BA ★ 1.5 mi to Broadway,Entire home/apt,147,2,228
