name,room_type,price,minimum_nights,number_of_reviews
Cedar Springs Farm Apartment- Close to town!,Entire home/apt,80,2,140
Basement: Mountainside Private Room & Private Bath,Private room,47,1,802
Nana's Place is minutes from everything!,Entire home/apt,137,2,156
The Cabin In Grove Park,Entire home/apt,75,29,9
Asheville Mtn. Retreat,Entire home/apt,120,30,76
West Asheville 3 BR/2BA with great outdoor space,Entire home/apt,65,30,94
Walk to Downtown  Mid-Century Modern,Entire home/apt,172,3,256
Sweet Room and Porch  Own Entrance And Bath,Private room,55,2,121
Dog Friendly  5 Minutes to Downtown  Walk to Yoga,Entire home/apt,91,1,130
Cozy Cabin by Mountain Stream,Entire home/apt,135,2,187
Cheerful Home In Historic Downtown Asheville,Entire home/apt,101,1,409
Sassy Purple Cottage!,Entire home/apt,131,120,50
Urban Oasis- walk to Haywood road,Entire home/apt,141,1,291
Peaceful  Spacious Mountain Retreat,Entire home/apt,184,1,499
Peaceful Log Home with Long Range Views,Entire home/apt,265,3,146
The Henhouse,Entire home/apt,124,2,252
THE MASTER ~ 50 SHADES OF 5* ~ HOT-TUB ~ 2M DWTN,Private room,118,1,473
Garage apartment close to downtown,Entire home/apt,100,2,71
Romantic Vintage Studio— Clean  Near Downtown!,Entire home/apt,78,1,361
Fabulous Studio 7 min to downtown!,Entire home/apt,119,2,143
Historic West Asheville 1930's Charmer,Entire home/apt,286,2,146
Private suite in W. Asheville - 30 day minimum,Private room,48,30,143
Bittersweet Cottage - It's All About The View!,Entire home/apt,293,2,165
Everything Zen Asheville,Entire home/apt,51,2,316
Forest Hill Bungalow,Entire home/apt,105,2,300
Bungalow and BBQ,Private room,72,1,424
The Suite at Bittersweet,Entire home/apt,261,2,63
Charming Cozy Home near Biltmore and Parkway,Entire home/apt,78,2,200
Nana's Nest,Private room,54,2,29
Nana's nest 3,Private room,58,2,45
Asheville  Private Suite 750 Sq/Ft,Entire home/apt,169,3,50
Sweet Suite,Entire home/apt,65,2,225
Bohemian Retreat: Clean  Deck  Near Downtown!,Entire home/apt,88,1,214
LG Private Rm  Mini Kitchen and Bathroom!,Entire home/apt,45,2,340
Views of Downtown and Mountains,Entire home/apt,200,30,71
2BR; Walk Downtown! 30 day minimum,Entire home/apt,219,21,18
Urbane Retreat Cabin In town Asheville 90 DAYS,Entire home/apt,65,90,154
West Asheville Green and Clean Getaway,Entire home/apt,95,2,447
Asheville Mountain Home ON RIVER! Rooms for Rent.,Private room,115,2,185
Chalet at Winghaven  Sunny Log Home,Entire home/apt,257,2,96
River Arts Studio,Entire home/apt,100,2,112
Beautiful Kenilworth Jewel,Entire home/apt,95,2,489
Amazing Asheville Location VIEWS!,Entire home/apt,300,3,149
Charming Bungalow in West Asheville,Private room,160,1,439
Heart of downtown studio apt- No Cleaning Fees,Entire home/apt,245,1,430
Convenient to Everything! Private,Entire home/apt,325,3,95
Strawbridge House,Entire home/apt,180,30,317
Griffin's Lair  Biltmore Village  NC 28803,Entire home/apt,250,2,83
Parklike Setting,Entire home/apt,49,30,1
Log Cabin Apartment Close To Asheville,Entire home/apt,89,2,170
Artsy/Zen Bungalow in W. Asheville!,Entire home/apt,143,1,199
Asheville's Famous  Pink House ,Private room,461,1,125
Hidden getaway close to downtown!,Entire home/apt,101,1,237
The AshVilla- Prime West Asheville location,Entire home/apt,121,1,179
Sleeps 12! - Historic Montford -  Walk to town!,Entire home/apt,481,2,89
Charming Historic Montford Bungalow ~Walk Downtown,Entire home/apt,89,1,172
Buried in Woods- Full of Art/ Style,Entire home/apt,275,4,121
Private Entrance/10 Min to DT,Private room,90,2,78
Solar House in South Asheville,Private room,35,3,31
The Rad Pad—Quiet Modern Nest 2 Blocks off Haywood Road,Entire home/apt,110,1,669
Mountain Beauty/City Convenience,Entire home/apt,165,3,120
Graceful Heart Cottage,Entire home/apt,94,1,83
Downtown Asheville  Small Single - Best Value! -#7,Private room,52,2,236
Charm n Comfort: 1 mi to Biltmore Estate  4 to DT!,Private room,51,1,264
Sunny  Modern Apartment in Vibrant Downtown Asheville,Entire home/apt,149,3,63
Sunny West Asheville Studio Apt.,Entire home/apt,58,30,105
Groove Stone Getaway,Entire home/apt,69,30,69
West Side Loft- Cozy  Clean & Comfortable,Entire home/apt,81,2,198
Mountain View Charming Space Five Mins to Downtown,Entire home/apt,106,1,434
Charming 1929 home w/ modern touch,Private room,60,2,26
Your Chic Mountain Getaway in the Forest!,Entire home/apt,67,1,202
Welcome to  Cozy Oak Cottage ,Entire home/apt,50,30,14
Downtown Asheville With a View - Great Value! -#11,Private room,92,1,299
Stay in historic downtown suburb,Entire home/apt,85,7,185
Unwind at the Sweet Spot Three Blocks from Town,Private room,92,1,464
The Barn At Mountain Meadows,Entire home/apt,295,2,6
❤️ Work-from-Home   2 BEDROOMS 2 FULL BATHROOMS,Entire home/apt,120,90,212
Serene  spacious  cozy and clean!,Private room,39,1,278
Hip Downtown Hideaway - Close to Mission Hospital,Entire home/apt,60,60,182
Comfy home 10 min to downtown.,Entire home/apt,205,2,122
Convenient to Downtown Asheville  BRP & Biltmore!,Entire home/apt,149,1,210
Bright  urban chic apt min from Avl,Entire home/apt,95,2,100
Female Dorm  Top Bunk #2  at Sharky's Hostel,Shared room,30,1,88
Private Room  Hitchcock  BPS Hostel,Private room,68,1,46
Cozy Cottage short walk to Downtown,Entire home/apt,86,30,0
cozy bedroom in the heart of west asheville,Private room,53,1,134
Downtown Asheville Music Lovers- Great Value! -#8,Private room,90,2,302
Sweet  private  detached guest studio,Entire home/apt,98,2,79
Beauty & Peace in Asheville,Entire home/apt,78,1,297
Wren's Nest Studio on the West Side,Entire home/apt,94,2,325
Private Basement Suite in Walkable West Asheville,Private room,125,2,95
Mountaintop Log Cabin w/Pano View,Entire home/apt,300,3,7
Thistledo - Cozy 1 Bedr. Private Apt,Entire home/apt,58,2,56
Yurt Nest at Green Oaks Community,Entire home/apt,109,28,132
Two Bedroom Suite in South Asheville,Private room,75,1,140
 Studio C   in Downtown! Private parking.,Entire home/apt,117,1,530
Easy walk to downtown Asheville,Entire home/apt,225,30,20
Clean Cozy Cabin Near Blue Ridge Parkway Asheville,Entire home/apt,76,2,168
Home away from home 5miles from downtown,Entire home/apt,164,1,228
Private Suite in Contemporary West Asheville Home,Private room,74,2,131
Private Home with Private Grounds,Private room,44,2,77
Sunny Modern Country Apartment with Hot Tub,Entire home/apt,86,2,269
Vintage Carriage House Apartment,Entire home/apt,115,1,154
Location! On West Asheville Strip. Walk everywhere,Entire home/apt,105,2,270
West Asheville  private hot tub and pool!,Entire home/apt,259,2,156
Asheville Beauty,Entire home/apt,271,1,138
CARRIAGE HOUSE COTTAGE INDUSTRY ~ RURAL ~ 2M DWT,Entire home/apt,120,1,186
Come vacation in West Asheville!,Entire home/apt,74,30,54
Studio at Green Oaks Community,Entire home/apt,93,14,93
Charming Bungalow Apartment - Biltmore Area,Entire home/apt,88,2,99
SweetPineHouse monthly rental fully outfitted!,Entire home/apt,50,30,6
Walk to Mission Hosp 30 day minimum rental  2 bdrm,Entire home/apt,60,28,3
Romantic & Bohemian Private Studio,Entire home/apt,102,1,493
West Asheville top floor sleeps 3,Private room,80,2,160
Clean Simple Modern Furnished Apartment 60 day min,Entire home/apt,50,60,13
Trails End Pisgah Natl Forest 12 min DT Asheville,Entire home/apt,232,2,40
mid century look w private entrance | no xtra fees,Private room,70,2,130
Country Living in the City Limits,Private room,50,2,128
Simple Clean and restful,Private room,55,2,10
DOWNTOWN Asheville Cute 2/1 Great Front Porch Yard,Entire home/apt,285,30,30
Cozy AVL Suite Near Everything,Entire home/apt,92,2,268
Suzies  Asheville HOT TUB   Views Privacy,Entire home/apt,209,3,18
1925 Bungalow in the Heart of West,Private room,99,2,45
5 Star Luxury Near Downtown & Biltmore,Entire home/apt,205,1,276
5 Mins to Downtown/ 2 MIns-Biltmore,Entire home/apt,300,2,23
Studio apartment in tranquil settin,Entire home/apt,61,30,3
Private floor  stroll to W. AVL,Entire home/apt,85,1,381
Beautifully appointed apt in mtns,Entire home/apt,93,1,63
WALKING DISTANCE TO DOWNTOWN!,Entire home/apt,97,2,69
Charming home near UNCA/Downtown,Entire home/apt,80,30,198
Three-Room Suite with Private Entrance,Private room,63,1,204
Modern Downtown Loft,Entire home/apt,207,2,275
Two Block Walk from Apt to Downtown,Entire home/apt,250,2,103
East-West Asheville Beauty,Entire home/apt,121,30,215
Entire apt. 2 miles: Biltmore  5 miles: downtown !,Entire home/apt,120,2,132
Lake view  Children-Friendly Cabins,Entire home/apt,214,3,3
Apartment 1 mile from  Downtown Asheville,Entire home/apt,109,1,425
Easy Walk Downtown - Sleeps 5,Entire home/apt,163,1,394
Soak up the Rays in the Solarium at a Zen Garden Suite,Private room,105,1,267
Log Cabin Near Downtown Asheville,Entire home/apt,285,3,3
WALK TO DOWNTOWN ASHEVILLE: Garden Homestay Room,Private room,88,1,32
Downtown  Get Around #3,Entire home/apt,90,30,145
Private Entrance  Top O' The Knob Chalet Suite,Private room,75,2,25
Walk to cafes  pubs  music,Entire home/apt,90,2,197
Scenic Mountain Retreat,Entire home/apt,418,2,140
Asheville One Bedroom Apartment,Entire home/apt,127,2,68
Downtown Asheville-Great Location & Free Parking!!,Entire home/apt,229,27,59
Sheriff's Station - Historic House  West Asheville,Private room,90,2,29
Serenity Yurt,Entire home/apt,124,2,161
Downtown Asheville Cottage,Entire home/apt,85,30,60
Cozy private furnished basement eff mins to town.,Entire home/apt,50,30,12
Mountain Views  Private Retreat  15 min frm dwntwn,Private room,112,3,127
Corner Cottage,Entire home/apt,249,4,11
Apartment with a View,Entire home/apt,95,3,134
Perfectly cozy location 1/2 mile to downtown.,Private room,105,2,258
Luxury Modern Loft in Historic Central Downtown Building,Entire home/apt,263,2,80
Blue  Ridge Cottage w/HOT TUB-Minutes to Downtown,Entire home/apt,201,2,51
Private Suite by downtown/Biltmore/River Arts/more,Entire home/apt,48,1,353
lovely peaceful room w coffee- central AVL east,Private room,75,3,117
Creekside Home Close to Everything,Entire home/apt,125,2,234
Secluded but convenient cabin,Entire home/apt,114,2,27
A Cottage At Willow Pond,Entire home/apt,191,2,13
The Arch suite,Entire home/apt,93,1,231
New house! Walk Dtown & River Arts,Entire home/apt,100,30,3
Ladyhawk Lodge Retreat,Private room,75,1,45
Country feel  city appeal  minutes to Asheville,Entire home/apt,170,2,88
Artsy Eclectic Little House,Entire home/apt,93,1,251
Airstream On The River,Entire home/apt,86,1,181
Private  secluded cabin-wood/fireplace/hot tub.,Entire home/apt,165,2,60
Mountain Top Retro Rental,Entire home/apt,143,3,225
Hazel's Hideaway - Walk Downtown,Entire home/apt,119,2,212
Asheville Mountainside Retreat,Entire home/apt,136,5,92
Our lil' blue house - relax and enjoy AVL,Entire home/apt,115,2,82
