name,room_type,price,minimum_nights,number_of_reviews
S&J#29Y~9BR3ba Bus2ConvCtr&Dtown!,Entire home/apt,625,2,0
Restful main-floor room (breakfast included),Private room,40,3,96
Long term private living space. Walk to shops.,Private room,55,30,161
Private Lake Home Retreat w/ HotTub,Entire home/apt,357,2,255
Private 1BR by Abbott Hospital  Downtown  MSP 206,Entire home/apt,110,30,24
1BR Downtown Mansion District Suite,Entire home/apt,109,1,180
UPTOWN *PARK & LAKE VIEWS* CLOSE TO EVERYTHING!,Entire home/apt,128,3,6
Charming Home Views St Croix River!,Entire home/apt,729,2,31
Private Guest House Loft on Lake!,Entire home/apt,160,1,61
Pets welcome! Fenced backyard  hot tub,Entire home/apt,235,2,54
The Sweet Spot,Entire home/apt,89,2,188
Minneapolis/St Paul Lake Cabin,Entire home/apt,175,2,110
Lovely First Floor 3 BD Apartment,Entire home/apt,109,1,107
The Garden Caravan,Entire home/apt,68,1,326
Downtown St Paul 1 Bedroom Flat,Entire home/apt,65,180,26
Quiet Comfortable Room for One,Private room,18,1,159
2BD close to the river & downtown,Entire home/apt,122,1,89
Northwoods Feel  In-town Amenities,Entire home/apt,236,2,8
2BR Downtown Mansion District Suite,Entire home/apt,129,1,93
Baby Bear Room,Private room,72,3,14
Paradise overlooking Cedar Lake,Private room,108,30,51
South Side Charm - Vintage Chic  Private Room,Private room,36,7,47
West Metro wooded home on Hiking trail,Private room,67,2,69
Your Private Second Floor-apartment,Entire home/apt,90,1,9
Private 3BR Suite w/Parking Close to Mpls/St Paul,Entire home/apt,125,7,236
Lake Phalen Place  on Lake Phalen,Entire home/apt,395,4,3
Suite in 113 Year Old Mini-Mansion,Private room,85,3,115
Gardener's Dream,Entire home/apt,140,30,3
Your private Garden apartment,Entire home/apt,90,1,91
Enjoy Lake Living - 20 Mins from the Twin Cities,Entire home/apt,220,2,73
Beautiful home on waters edge!,Entire home/apt,344,3,26
Private 1BR by Abbott Hospital  Downtown  MSP 306,Entire home/apt,110,3,23
Safe  Cozy Home- Central Location,Private room,59,1,25
Queen Bed Room in Charming Farmhouse,Private room,85,1,12
Twin Bed Room in Charming Farmhouse,Private room,80,1,2
Comfortable Victorian,Private room,60,2,158
"Your Quiet Get Away
St. Paul",Entire home/apt,98,2,125
Beautiful Home,Private room,1643,1,3
Luxury 1200 footer on Cedar Lake,Entire home/apt,140,365,15
Spacious Private 2nd Floor Apt.,Entire home/apt,120,3,126
Treetops Studio on the Parkway,Entire home/apt,70,2,128
Stunning Private 3rd Floor Suite,Entire home/apt,120,3,114
